params,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,mean_cv_mse,std_cv_mse,mean_cv_rmse,std_cv_rmse,mean_cv_mae,std_cv_mae,mean_cv_r2,std_cv_r2
"{'max_depth': 24, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",24,0.5,1,2,300,43175449.609535806,10602875.176174045,6536.059666465044,826.4747237012028,2797.0704267516553,148.66527489772062,0.8874715452004202,0.026355806991695402
"{'max_depth': 26, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",26,0.5,1,2,300,43473825.43720705,11008312.773630638,6556.197939738896,857.4036495465547,2786.569369781107,155.66336081699333,0.8867026995252879,0.027408403439972032
"{'max_depth': 24, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",24,0.45,1,2,500,43653700.72955928,11393447.570204914,6567.098386849063,889.0327668345876,2796.5999036938374,144.99952637567606,0.8862437189188684,0.028411616085892828
"{'max_depth': 24, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",24,0.5,1,2,500,43632558.20027324,10981105.480144117,6568.8152451523565,851.3734274634224,2799.997328748675,151.27581394768745,0.8862855777798425,0.027334279074413603
"{'max_depth': 26, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",26,0.45,1,3,500,43704209.56540944,11587352.136316236,6569.80525234449,901.5557484228433,2791.346903930202,153.04956537726494,0.886114191049269,0.02892121174673619
"{'max_depth': 26, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",26,0.45,1,2,500,43701376.72172611,11083459.591165336,6573.041099110546,862.9954499848707,2791.2602045767453,148.15645751124694,0.8861116855115476,0.027595936657499983
"{'max_depth': 24, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",24,0.45,1,2,300,43770267.34741185,11402966.006612252,6576.164502945309,886.8436538764183,2796.049222001944,148.45906918472335,0.8859381420455165,0.02843388008764769
"{'max_depth': 26, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",26,0.45,1,3,300,43788861.23962793,11545659.547181504,6576.625158634714,897.381827128935,2796.1763674737954,152.91305403792862,0.8858922328655421,0.028808682492836166
"{'max_depth': 28, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",28,0.45,1,2,500,43788922.39703563,11442015.075962074,6577.05796900663,892.6624804723446,2783.7778970511486,151.85379648785496,0.8858925547756645,0.02853378303401614
"{'max_depth': 24, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",24,0.45,1,3,300,43788748.76104742,11341732.403269121,6578.287625928128,878.8179603378906,2798.6032620235924,146.2749697198972,0.8858860327280146,0.02827545732261825
"{'max_depth': 26, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",26,0.45,1,2,300,43781776.14145503,10864513.396616217,6580.664264948147,845.5477279457563,2792.6932047405994,142.097197109791,0.885897486873144,0.02701696405726271
"{'max_depth': 28, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",28,0.45,1,2,300,43836626.60520669,11157748.239179445,6582.678797264144,870.3158540918772,2785.113938060141,146.05806471745666,0.8857622824449732,0.02778447113436463
