params,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,mean_cv_mse,std_cv_mse,mean_cv_rmse,std_cv_rmse,mean_cv_mae,std_cv_mae,mean_cv_r2,std_cv_r2
"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",,0.2,1,3,500,40102321.25935565,11689775.08328493,6286.0104059015675,939.4634928400826,2737.58226068793,165.49850518186287,0.8955135328945009,0.029325096371542334
"{'max_depth': 28, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",28.0,0.2,1,2,300,40113194.6008269,11277659.522304414,6288.967551286897,918.2170819207536,2760.3772646521315,152.43819587475525,0.8954866570345174,0.028231823109628934
"{'max_depth': 28, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",28.0,0.3,1,2,500,40186769.08358867,11490750.37618749,6294.813357544833,918.2269958434745,2721.867636334781,165.71383327504628,0.8952850851206445,0.028805670246440537
"{'max_depth': 28, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",28.0,0.2,1,2,500,40192317.24320542,11396415.382126119,6294.881679864197,922.0481655386957,2757.9331910611563,157.60993124841482,0.8952787365896692,0.02854441606516785
"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",,0.3,1,2,300,40206208.15746396,11690397.000742279,6295.225641717704,929.7921359023352,2717.9280854199937,177.63234469128494,0.895234195189386,0.029335269747765444
"{'max_depth': 28, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",28.0,0.3,1,2,300,40203118.99635555,11529353.76963196,6295.86983898286,920.7132834993979,2720.0175897270947,165.0671327860064,0.895242761239586,0.028907027146016284
"{'max_depth': 24, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",24.0,0.3,1,2,300,40271588.97664936,11366547.859634593,6302.463652450398,908.741618550856,2761.1672339531638,154.52126936457773,0.8950624528995652,0.02847480524956522
"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",,0.3,1,2,500,40306454.111107975,11644854.284988862,6303.446859038845,927.1017795107214,2713.8901463006364,175.67256061720127,0.8949736054700074,0.02920911592330891
"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",,0.2,1,3,300,40317141.69287727,11644197.433444578,6303.561157432923,934.5521071990881,2739.948861534162,162.7147351721845,0.8949527574642624,0.029196738994658987
"{'max_depth': 24, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",24.0,0.3,1,2,500,40301384.549600445,11325912.40866953,6305.190107670455,904.9549069443315,2759.913252900658,158.029757789353,0.8949836413357913,0.028367465690995155
"{'max_depth': 28, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",28.0,0.3,1,3,300,40348683.056260675,11590788.197700424,6307.105991003414,923.9294409013538,2726.5348429768164,171.27357937303265,0.8948638380290745,0.029063376466643483
"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",,0.3,1,3,300,40334681.53601482,11209720.638809133,6308.186871197605,901.2157905282627,2714.0963422423124,164.4584840571891,0.8948997590759046,0.028053243174294678
"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",,0.2,1,2,500,40408123.3999033,11631558.711926918,6311.068814313777,931.5582275677123,2728.597665736506,172.06939414587623,0.8947141069752229,0.02916154155954033
"{'max_depth': 28, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",28.0,0.2,1,3,300,40444473.47800629,11795825.82140097,6311.9371938532395,951.7791278902656,2773.614434907442,151.84374351557005,0.894628681301714,0.02958456354660198
"{'max_depth': 28, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",28.0,0.2,1,3,500,40469013.306275144,12069660.344567781,6312.061340383144,969.7125410520138,2770.1816766016163,157.06205709053944,0.8945670418902468,0.030305817958158787
"{'max_depth': 24, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",24.0,0.2,1,2,300,40519044.57990792,11472068.623093357,6320.968036644619,920.1149327325868,2825.4589735282493,151.42394802734609,0.8944235371026289,0.02873600205688698
"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",,0.3,1,3,500,40522184.50122326,11344611.082088294,6322.612998150707,905.6070148019359,2716.27390473127,169.0666841518772,0.8944089600765683,0.02840667029179362
"{'max_depth': 28, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",28.0,0.3,1,3,500,40571062.117319174,11689024.483891422,6324.449173827424,926.6105694892428,2725.5626289773863,170.0233805115685,0.8942825082962296,0.029317801575800835
"{'max_depth': 24, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",24.0,0.3,1,3,300,40577769.135935254,11673565.205019336,6325.844555604966,917.7089360943347,2768.047538629194,166.74608151603755,0.8942564393709734,0.029291973410384014
"{'max_depth': 24, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",24.0,0.3,1,3,500,40569376.592511944,11503397.443573046,6326.119250930385,907.9579964292852,2765.2257632813507,164.27261333343628,0.8942790384073342,0.028838632935237002
